,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
2022-10-01,111341.26,2642.45,499.43999999999994,57079.66,172543.84,121219.8,18933.23,52297.32,738.72,13694.900000000001,3080.55,21235.84375,47002.729999999996,60162.68375,131186.7,623921.96
2022-10-02,111900.65,3113.68,499.43999999999994,70306.15,208116.51,117817.5,30387.66,94214.4,738.72,13809.560000000001,7338.79,23960.3125,52577.41625,69259.4296875,145290.34,444714.07
2022-10-03,112915.5,7118.3975,499.43999999999994,143763.22,262323.79,138108.48,30097.420000000002,96686.39,738.72,13295.99,7340.39,34594.875,62033.211875,47763.556171874996,61199.33,278501.4
2022-10-04,113024.56,6883.145,499.43999999999994,172671.86000000002,307981.87,140326.76,30514.54,96422.8,854.1600000000001,10720.24,7351.51,33200.9375,62597.32,73259.414296875,108323.51,209279.16
2022-10-05,112261.71,5009.28,499.43999999999994,98730.48,251187.43,148281.32,30372.309999999998,95046.29,738.72,10949.66,7355.5,23388.8125,57006.18,61236.55960937501,129380.23,515989.7
2022-10-06,112078.86,6507.208125,499.43999999999994,139289.63,286983.71,150009.82,30794.4,93606.34,738.72,11197.98,7338.0,34088.875,52282.83,61157.3515625,108163.82,406118.97000000003
2022-10-07,112943.87,6458.3875,499.43999999999994,168252.32,306988.96,141691.27,31040.03,96587.69,1007.4825000000001,11615.230000000001,7360.26,33584.8125,51609.38,54173.9311328125,113361.91,286029.58
2022-10-08,113691.51,4661.58,499.43999999999994,114182.18,316174.26,144392.05,31247.99,96734.83,738.72,11535.7,7356.29,19145.28125,48614.12,48113.5453125,109105.84,331991.13
2022-10-09,111603.26000000001,3130.43,499.43999999999994,78424.96,314402.61,141187.46,27765.2,97050.07,738.72,11528.49,7387.28,17044.9375,45102.52,53629.396640625,66003.22,223610.13
2022-10-10,109585.94,5987.79125,499.43999999999994,178288.8,328756.43,167039.45,29038.4,96892.73,738.72,11682.220000000001,7373.78,23460.5625,43886.68,35475.3870703125,111936.26,307131.98
2022-10-11,109466.81,5403.7325,499.43999999999994,220392.21,334537.69,252725.91999999998,25143.88,96796.79,4456.86744140625,11542.08,7358.67,27635.6875,44193.3,37536.5836328125,57777.17,108233.53
2022-10-12,109511.96,6801.84890625,499.43999999999994,246612.05,324565.01,267577.09,25195.0,96782.28,738.72,11583.45,7364.25,25578.4375,45778.71,37609.758945312504,42773.14,72528.98
2022-10-13,109656.65,5969.829375,499.43999999999994,239908.69,342962.08999999997,274808.03,25224.58,96665.87,762.78,11688.58,7359.46,27853.5625,44693.59,45594.45015625,39876.8,134822.77
2022-10-14,108479.56999999999,7321.5128125,499.43999999999994,200121.94,353688.3,257290.79,24676.82,96546.47,840.7,11637.52,7341.97,23930.875,47336.04,56674.771875,32219.02,137308.09
2022-10-15,107972.52,2282.46,499.43999999999994,89642.37,316981.13,160904.86,23408.6,96091.31,738.72,11835.1,7338.0,18307.5,47353.81,50885.754375,79279.06,273774.82
2022-10-16,109274.45999999999,1567.27,499.43999999999994,80217.82,280889.27,162055.04,22163.11,95603.38,738.72,11707.7,7338.0,16026.84375,42169.19,35349.611484375004,90574.06,276183.79
2022-10-17,110357.36,3930.14,499.43999999999994,134986.54,322077.96,222397.23,23678.1,95066.03,772.39,11832.69,7348.33,27033.375,38092.29,27282.828671875002,95067.14,282843.6
2022-10-18,113183.16,4061.37,499.43999999999994,205671.95,294332.44,285961.88,24105.94,96152.28,1146.63,11582.66,7361.05,30174.25,39039.46,61639.463125,89296.49,134765.39
2022-10-19,115280.96,3743.295,499.43999999999994,151966.55,296306.66,280861.5,25238.81,96648.4,2621.155,11561.18,7365.04,29871.4375,38156.24,28770.45265625,45960.57,171190.14
2022-10-20,115360.68,4084.2275,499.43999999999994,113960.02,280728.23,178541.72,25403.36,96277.67,1068.616875,11975.12,7458.2,27198.5,36323.13,43842.710546875,114678.93,421704.99
2022-10-21,118344.85,4764.8475,499.43999999999994,122482.92,318504.25,274262.91000000003,30845.54,64853.53,738.72,12835.07,7796.64,33603.25,37387.35,56498.455,22283.0,221337.61000000002
2022-10-22,118263.11,2467.96,499.43999999999994,51004.43,273340.06,220259.01,31284.9,63173.49,738.72,12509.420000000002,7723.38,15346.25,41397.56,25305.62953125,52669.74,208891.54
2022-10-23,118601.98,1876.64,499.43999999999994,41444.62,250420.77,183205.76,31242.62,63076.61,738.72,11578.68,7355.5,15156.25,40580.39,45709.962812499994,68298.67,283650.91
2022-10-24,118507.83,1712.71,499.43999999999994,75024.96,216378.25,197036.95,31226.1,62972.92,738.72,11795.19,7357.88,20833.375,41828.76,53474.1775,119733.78,608217.48
2022-10-25,118884.65,4425.3,499.43999999999994,59404.46,280287.34,259345.8,31011.22,63219.74,935.94,13179.05,8002.84,29659.25,55044.7,63851.967343749995,95591.47,314240.5
2022-10-26,118957.1,4307.93,499.43999999999994,58307.28,345246.07,253978.52,30527.99,63157.54,924.41,12573.91,7784.66,21357.375,50558.47,52842.644374999996,75894.28,199828.53
2022-10-27,119002.22,3739.85,499.43999999999994,54718.72,339036.02,190966.84,29033.77,62941.17,783.95,12002.24,7380.95,24487.75,50176.6,68044.03234375,96276.8,257902.6
2022-10-28,118735.83,4263.04,499.43999999999994,48992.979999999996,324282.07,183916.65,29633.45,62682.1,1166.8200000000002,12417.02,7365.82,25681.25,47755.91,47511.92078125,69295.26,343498.4
2022-10-29,118727.84,2029.8999999999999,499.43999999999994,42288.93,286166.86,186432.89,28250.32,68040.26000000001,738.72,14043.76,7633.39,15435.125,46058.94,43137.75484375,33387.98,136070.05
2022-10-30,118957.38,2785.49,499.43999999999994,38574.83,297251.2975,170828.91,19437.2,75394.44,738.72,15158.39,3422.15,25762.8125,43212.9,56615.46578125,31177.940000000002,130948.36
2022-10-31,119322.31999999999,4135.0125,499.43999999999994,54817.29,306862.9,233793.47,29477.78,91738.18,738.72,18265.3,9641.49,26365.4375,45389.96,60397.751249999994,51394.18,143697.96
2022-11-01,118799.29,2862.83,499.43999999999994,54410.87,225515.72,146559.1,28605.51,93795.23,738.72,18340.93,8509.23,21522.25,42699.6,46599.7028125,136978.89,473661.2
2022-11-02,119815.68000000001,2245.47,499.43999999999994,72196.85,239565.57,179961.03,27266.989999999998,96165.29,999.44,16656.94,8581.67,26537.6875,39186.28,52430.83875,129913.92,549264.74
2022-11-03,121075.0,3181.05,499.43999999999994,56575.85,311495.99,181657.39,29562.76,96168.24,1376.55,19102.9,8817.380000000001,26603.5,40166.34,47485.46875,129458.02,484392.43
2022-11-04,121775.73,4614.88,499.43999999999994,149493.26,343317.86,221987.19,29220.58,96413.57,738.72,20148.34,9084.85,36965.875,45191.15,43807.92,117565.93,247294.53999999998
2022-11-05,121749.94,1427.34,499.43999999999994,92655.25,296548.9,178506.89,28735.47,96541.77,738.72,18489.83,8493.289999999999,19053.75,43287.53,57836.540625,97752.24,271042.06
